Cache Size (in KB),Block Size (in bytes),Associativity,Replacement,# Blocks,# Rows,Overhead,Imp Memory Size,Cost in $,Total cache accesses,Cache hits,Cache Misses,Comp Misses,Conf Misses,Hit Rate,Miss Rate,CPI,Unused Cache Space,% Unused Cache Space,Waste in $,Unused Cache Blocks
64,16,2,RND,4096,2048,9216,73,3.65,255911,248638,7273,3848,3425,97.15799633,2.842003665,2.758013042,4.419921875,6.0546875,0.220996094,248
64,16,4,RR,4096,1024,9728,73.5,3.65,255911,246803,9108,3987,5121,96.44095017,3.559049826,2.870812907,1.955932617,2.661132813,0.097796631,109
64,16,4,RND,4096,1024,9728,73.5,3.65,255911,248655,7256,3987,3269,97.16463927,2.835360731,2.75696803,1.955932617,2.661132813,0.097796631,109
64,16,8,RR,4096,512,10240,74,3.7,255911,244342,11569,4074,7495,95.47928772,4.520712279,3.022093815,0.397460938,0.537109375,0.019873047,22
64,16,8,RND,4096,512,10240,74,3.7,255911,248805,7106,4074,3032,97.2232534,2.776746603,2.747747332,0.397460938,0.537109375,0.019873047,22
64,16,16,RR,4096,256,10752,74.5,3.7,255911,242994,12917,4096,8821,94.95254209,5.047457905,3.104957149,0,0,0,0
64,16,16,RND,4096,256,10752,74.5,3.7,255911,248801,7110,4096,3014,97.22169035,2.778309647,2.747993218,0,0,0,0
64,64,1,RR,1024,1024,2176,66.125,3.3,255911,252157,3754,970,2784,98.53308377,1.466916233,3.233985442,3.487060547,5.2734375,0.174353027,54
64,64,1,RND,1024,1024,2176,66.125,3.3,255911,252157,3754,970,2784,98.53308377,1.466916233,3.233985442,3.487060547,5.2734375,0.174353027,54
64,64,2,RR,1024,512,2304,66.25,3.3,255911,252189,3722,1007,2715,98.54558811,1.454411885,3.226117113,1.099853516,1.66015625,0.054992676,17
64,64,2,RND,1024,512,2304,66.25,3.3,255911,252845,3066,1007,2059,98.80192723,1.198072767,3.06481638,1.099853516,1.66015625,0.054992676,17
64,64,4,RR,1024,256,2432,66.375,3.3,255911,251009,4902,1024,3878,98.08449031,1.915509689,3.516261724,0,0,0,0
64,64,4,RND,1024,256,2432,66.375,3.3,255911,252962,2949,1024,1925,98.84764625,1.152353748,3.036047804,0,0,0,0
64,64,8,RR,1024,128,2560,66.5,3.3,255911,249134,6777,1024,5753,97.35181372,2.648186284,3.977296594,0,0,0,0
64,64,8,RND,1024,128,2560,66.5,3.3,255911,252989,2922,1024,1898,98.85819679,1.141803205,3.029408902,0,0,0,0
